Site.number,Site.type,Collection.date,Collection.time,Lat,Long,THg.water.ng.L,MeHg.water.ng.L,Percent.MeHg.water,Ave.THg.sed.ug.g,TSS.mg.L,Percent.C.sed
1,mining.pond,13-Aug,10:35,-13.04659,-69.92761,2.73,0.06,2.35,0.07,8.81,0.34
2,mining.pond,13-Aug,14:00,-13.0416,-69.93137,0.64,0.06,8.69,0.03,12.62,0.53
3,mining.pond,13-Aug,15:45,-13.04051,-69.92562,5.41,0.03,0.56,0.05,17.95,0.5
4,mining.pond,14-Aug,8:40,-13.04005,-69.91745,0.91,0.06,6.89,0.06,5.76,0.84
5,mining.pond,14-Aug,10:39,-13.03922,-69.9162,0.49,0.08,16.18,0.12,9.38,0.45
6,mining.pond,14-Aug,11:32,-13.03837,-69.91466,2.35,0.09,3.98,0.03,8.42,0.39
7,mining.pond,14-Aug,2:30,-13.03691,-69.90986,0.64,0.04,6.77,0.04,12.07,0.52
8,mining.pond,14-Aug,3:25,-13.03893,-69.90997,2.42,0.06,2.45,0.06,8.38,0.88
9,mining.pond,14-Aug,4:50,-12.04069,-69.91524,1.14,0.08,6.99,0.05,8.82,0.53
10,mining.pond,15-Aug,9:31,-13.01114,-69.94402,1.52,0.11,7.33,0.07,33.53,0.96
11,mining.pond,15-Aug,10:56,-13.00044,-69.94968,1.11,0.04,3.93,0.05,6.86,0.22
12,mining.pond,15-Aug,12:15,-12.99166,-69.95575,0.63,0.02,2.91,0.06,18.44,0.29
