Site.number,Site.type,Collection.date,Collection.time,Lat,Long,THg.water.ng.L,MeHg.water.ng.L,Percent.MeHg.water,Ave.THg.sed.ug.g,TSS.mg.L,Percent.C.sed
1,oxbow.lake.downstream,27-Jul,13:20,-12.59852,-70.07249,2.43,0.19,7.87,0.1,28.92,1.48
2,oxbow.lake.downstream,28-Jul,9:20,-12.61479,-70.11527,0.65,0.08,11.84,0.57,24.06,1.39
3,oxbow.lake.downstream,28-Jul,4:10,-12.62844,-70.2504,4.09,0.05,1.33,0.13,40.69,0.76
4,oxbow.lake.downstream,30-Jul,12:40,-12.57176,-70.4486,1.05,0.03,2.63,0.09,21.23,0.27
5,oxbow.lake.upstream,30-Jul,15:30,-12.55659,-70.46041,0.63,0.03,4.2,0.96,22.54,1.03
6,oxbow.lake.upstream,31-Jul,12:45,-12.45771,-70.67259,0.66,0.03,4.45,0.05,42.53,1.85
7,oxbow.lake.upstream,31-Jul,15:30,-12.40622,-70.71348,0.2,0.02,7.8,0.05,6.28,1.46
8,oxbow.lake.upstream,4-Aug,10:40,-12.26912,-70.94264,,,,0.04,,0.87
9,oxbow.lake.upstream,5-Aug,11:00,-12.45953,-70.604,0.44,0.05,12,0.09,6.47,1.56
10,oxbow.lake.downstream,7-Aug,10:40,-12.59755,-70.4237,0.89,0.04,4.29,0.08,20.69,0.57
11,oxbow.lake.downstream,8-Aug,9:20,-12.61335,-70.04083,0.31,0.02,6.09,0.09,12.44,4.4
12,oxbow.lake.downstream,8-Aug,11:50,-12.66187,-69.8934,0.45,0.05,10.34,0.74,6.25,2.42
13,oxbow.lake.downstream,9-Aug,9:24,-12.62909,-69.53897,0.7,0.09,12.65,0.04,11.87,0.67
14,oxbow.lake.downstream,9-Aug,11:50,-12.6593879,-69.5429377,2.07,0.05,2.43,0.01,25.81,0.8
15,oxbow.lake.downstream,11-Aug,8:10,-12.73096,-69.59354,1.9,0.05,2.49,0.04,42.01,0.62
16,oxbow.lake.downstream,16-Aug,10:30,-12.72838,-69.79144,2.03,0.07,3.67,0.05,23.98,0.62
17,oxbow.lake.downstream,17-Aug,9:30,-12.58058,-70.08558,0.35,0.06,18.4,0.04,12.63,1.21
18,oxbow.lake.downstream,17-Aug,11:10,-12.57036,-70.08096,0.32,0.01,3.55,0.04,12.25,2.26
19,oxbow.lake.downstream,19-Aug,9:00,-12.63518,-70.03457,0.29,0.06,22.25,1.53,4.08,4.03
