Site.number,Site.type,Collection.date,Collection.time,Lat,Long,THg.water.ng.L,MeHg.water.ng.L,Percent.MeHg.water,Ave.THg.sed.ug.g,TSS.mg.L,Percent.C.sed
1,river.downstream,26-Jul,11:21,-12.71525,-69.73079,18.41,0.06,0.34,0.03,294.96,0.12
2,river.downstream,26-Jul,12:19,-12.72855,-69.75352,34.35,0.07,0.22,0.09,266.18,0.86
3,river.downstream,26-Jul,13:00,-12.70092,-69.75365,8.14,0.06,0.75,0.01,266.67,0.18
4,river.downstream,26-Jul,15:00,-12.639,-69.897,10.27,0.05,0.48,0.01,213.84,0.12
5,river.downstream,27-Jul,8:40,-12.57847,-70.0741,2.09,0.03,1.56,0.01,38.26,0.04
6,river.downstream,27-Jul,9:40,-12.58666,-70.0468,7.17,0.05,0.71,0.02,190.09,0.25
7,river.downstream,27-Jul,17:00,-12.57132,-70.10258,2.69,0.05,1.87,0.04,174.03,0.86
8,river.downstream,28-Jul,11:47,-12.58002,-70.13416,6.39,0.04,0.65,1.79,109.85,0.07
9,river.downstream,28-Jul,14:17,-12.62084,-70.22094,5.44,0.04,0.71,0.01,94.62,0.15
10,river.downstream,29-Jul,14:20,-12.61061,-70.39618,20,0.09,0.46,0.01,157.89,0.04
11,river.downstream,29-Jul,14:56,-12.59836,-70.39838,0.86,0.03,3.96,0.02,39.91,0.44
12,river.downstream,29-Jul,15:34,-12.6071,-70.37541,5.9,0.05,0.89,0.01,182.68,0.06
13,river.upstream,30-Jul,11:29,-12.58797,-70.43443,1.08,0.03,3,0.03,43.69,0.93
14,river.upstream,31-Jul,8:00,-12.4986,-70.56638,1.49,0.02,1.55,0.03,31.88,0.96
15,river.upstream,31-Jul,8:30,-12.49175,-70.57346,0.19,0.01,5.29,0,4.48,0.08
16,river.upstream,31-Jul,9:10,-12.47754,-70.5872,1.57,0.04,2.55,0.01,56.14,0.15
17,river.upstream,1-Aug,8:10,-12.3868,-70.71183,0.84,0.04,5.17,0.03,0.93,0.87
18,river.upstream,1-Aug,8:40,-12.40611,-70.71347,1,0.04,3.8,0.02,43.35,0.15
19,river.upstream,1-Aug,9:10,-12.37264,-70.71174,,0.03,,2.65,32.43,0.07
20,river.upstream,1-Aug,10:45,-12.29333,-70.77677,0.95,0.03,3.45,0.01,38.99,0.13
21,river.upstream,2-Aug,8:45,-12.27949,-70.93287,0.37,0.02,5.24,3.35,8.12,0.2
22,river.upstream,2-Aug,9:05,-12.26895,-70.94278,0.74,0.03,4.51,0,29.41,0.04
23,river.upstream,2-Aug,9:36,-12.26912,-70.94264,,0.02,,0.01,10.68,0.26
