system:index,BasinID,area,feature,year,.geo
0_1_000700000000000035bb,6080546500,85547.59173583984,ForestToWater,2001.0,
0_1_0007000000000000362a,6080552520,36618.307678222656,ForestToWater,2001.0,
0_1_0007000000000000362b,6080552360,45381.439208984375,ForestToWater,2001.0,
0_1_00070000000000003659,6080548660,6122.119140625,ForestToWater,2001.0,
0_1_0007000000000000365a,6080548950,28809.936279296875,ForestToWater,2001.0,
0_1_0007000000000000369f,6080549240,145832.50701904297,ForestToWater,2001.0,
0_1_000700000000000036a0,6080549470,257396.69958496094,ForestToWater,2001.0,
0_1_0007000000000000371f,6080540560,0.0,ForestToWater,2001.0,
0_1_00070000000000003720,6080540660,29692.491943359375,ForestToWater,2001.0,
0_2_000700000000000035bb,6080546500,8447198.96798407,ForestToBarren,2001.0,
0_2_0007000000000000362a,6080552520,3137191.045440315,ForestToBarren,2001.0,
0_2_0007000000000000362b,6080552360,596084.93359375,ForestToBarren,2001.0,
0_2_00070000000000003659,6080548660,149829.34813950484,ForestToBarren,2001.0,
0_2_0007000000000000365a,6080548950,1852298.2664857153,ForestToBarren,2001.0,
0_2_0007000000000000369f,6080549240,722153.4471435547,ForestToBarren,2001.0,
0_2_000700000000000036a0,6080549470,2191199.9128178614,ForestToBarren,2001.0,
0_2_0007000000000000371f,6080540560,12233.707336425781,ForestToBarren,2001.0,
0_2_00070000000000003720,6080540660,8306692.745919022,ForestToBarren,2001.0,
1_1_000700000000000035bb,6080546500,89048.7192993164,ForestToWater,2002.0,
1_1_0007000000000000362a,6080552520,35759.76184082031,ForestToWater,2002.0,
1_1_0007000000000000362b,6080552360,2618.057861328125,ForestToWater,2002.0,
1_1_00070000000000003659,6080548660,17492.94921875,ForestToWater,2002.0,
1_1_0007000000000000365a,6080548950,34847.225632611444,ForestToWater,2002.0,
1_1_0007000000000000369f,6080549240,134472.9376220703,ForestToWater,2002.0,
1_1_000700000000000036a0,6080549470,308009.8936655082,ForestToWater,2002.0,
1_1_0007000000000000371f,6080540560,0.0,ForestToWater,2002.0,
1_1_00070000000000003720,6080540660,23571.426696777344,ForestToWater,2002.0,
1_2_000700000000000035bb,6080546500,6964965.834836952,ForestToBarren,2002.0,
1_2_0007000000000000362a,6080552520,3566399.707886939,ForestToBarren,2002.0,
1_2_0007000000000000362b,6080552360,912058.1055723901,ForestToBarren,2002.0,
1_2_00070000000000003659,6080548660,774279.1529421338,ForestToBarren,2002.0,
1_2_0007000000000000365a,6080548950,830792.0396797927,ForestToBarren,2002.0,
