system:index,BasinID,area,feature,year,.geo
0_1_000700000000000035bb,6080546500,8727.470886230469,ForestToWater,2001.0,
0_1_0007000000000000362a,6080552520,11329.688537597656,ForestToWater,2001.0,
0_1_0007000000000000362b,6080552360,0.0,ForestToWater,2001.0,
0_1_00070000000000003659,6080548660,4375.96142578125,ForestToWater,2001.0,
0_1_0007000000000000365a,6080548950,5238.6636962890625,ForestToWater,2001.0,
0_1_0007000000000000369f,6080549240,20948.619689941406,ForestToWater,2001.0,
0_1_000700000000000036a0,6080549470,3487.3347778320312,ForestToWater,2001.0,
0_1_0007000000000000371f,6080540560,0.0,ForestToWater,2001.0,
0_1_00070000000000003720,6080540660,4363.790100097656,ForestToWater,2001.0,
0_2_000700000000000035bb,6080546500,8226344.154629576,ForestToBarren,2001.0,
0_2_0007000000000000362a,6080552520,3041248.1440731273,ForestToBarren,2001.0,
0_2_0007000000000000362b,6080552360,508810.6010131836,ForestToBarren,2001.0,
0_2_00070000000000003659,6080548660,149829.34813950484,ForestToBarren,2001.0,
0_2_0007000000000000365a,6080548950,1813885.9724183325,ForestToBarren,2001.0,
0_2_0007000000000000369f,6080549240,605113.4392089844,ForestToBarren,2001.0,
0_2_000700000000000036a0,6080549470,1656554.9125737208,ForestToBarren,2001.0,
0_2_0007000000000000371f,6080540560,11359.392761230469,ForestToBarren,2001.0,
0_2_00070000000000003720,6080540660,8234245.724007401,ForestToBarren,2001.0,
1_1_000700000000000035bb,6080546500,29674.88067626953,ForestToWater,2002.0,
1_1_0007000000000000362a,6080552520,2614.5530395507812,ForestToWater,2002.0,
1_1_0007000000000000362b,6080552360,0.0,ForestToWater,2002.0,
1_1_00070000000000003659,6080548660,13127.222290039062,ForestToWater,2002.0,
1_1_0007000000000000365a,6080548950,5237.805603027344,ForestToWater,2002.0,
1_1_0007000000000000369f,6080549240,40150.19543457031,ForestToWater,2002.0,
1_1_000700000000000036a0,6080549470,23535.5732421875,ForestToWater,2002.0,
1_1_0007000000000000371f,6080540560,0.0,ForestToWater,2002.0,
1_1_00070000000000003720,6080540660,3489.600830078125,ForestToWater,2002.0,
1_2_000700000000000035bb,6080546500,6799967.903379433,ForestToBarren,2002.0,
1_2_0007000000000000362a,6080552520,3468685.3971569585,ForestToBarren,2002.0,
1_2_0007000000000000362b,6080552360,871912.7942930933,ForestToBarren,2002.0,
1_2_00070000000000003659,6080548660,769039.2191042432,ForestToBarren,2002.0,
1_2_0007000000000000365a,6080548950,824680.8818428786,ForestToBarren,2002.0,
1_2_0007000000000000369f,6080549240,515462.49116569967,ForestToBarren,2002.0,
1_2_000700000000000036a0,6080549470,1615495.0449946385,ForestToBarren,2002.0,
1_2_0007000000000000371f,6080540560,12238.27294921875,ForestToBarren,2002.0,
1_2_00070000000000003720,6080540660,4443640.3861687165,ForestToBarren,2002.0,
2_1_000700000000000035bb,6080546500,22692.410888671875,ForestToWater,2003.0,
2_1_0007000000000000362a,6080552520,9217.446335736444,ForestToWater,2003.0,
2_1_0007000000000000362b,6080552360,1745.3755493164062,ForestToWater,2003.0,
2_1_00070000000000003659,6080548660,14000.184814453125,ForestToWater,2003.0,
2_1_0007000000000000365a,6080548950,14840.579223632812,ForestToWater,2003.0,
2_1_0007000000000000369f,6080549240,98633.21557617188,ForestToWater,2003.0,
2_1_000700000000000036a0,6080549470,42219.42268281824,ForestToWater,2003.0,
2_1_0007000000000000371f,6080540560,0.0,ForestToWater,2003.0,
2_1_00070000000000003720,6080540660,27051.310302734375,ForestToWater,2003.0,
2_2_000700000000000035bb,6080546500,5826929.984869264,ForestToBarren,2003.0,
2_2_0007000000000000362a,6080552520,3439760.8005900066,ForestToBarren,2003.0,
2_2_0007000000000000362b,6080552360,683236.7953622856,ForestToBarren,2003.0,
2_2_00070000000000003659,6080548660,270361.10564826516,ForestToBarren,2003.0,
2_2_0007000000000000365a,6080548950,1529700.8799761604,ForestToBarren,2003.0,
2_2_0007000000000000369f,6080549240,767416.6431884766,ForestToBarren,2003.0,
2_2_000700000000000036a0,6080549470,3510068.3440369847,ForestToBarren,2003.0,
2_2_0007000000000000371f,6080540560,12239.848449707031,ForestToBarren,2003.0,
2_2_00070000000000003720,6080540660,3878539.894044405,ForestToBarren,2003.0,
3_1_000700000000000035bb,6080546500,10473.273803710938,ForestToWater,2004.0,
3_1_0007000000000000362a,6080552520,42705.88232421875,ForestToWater,2004.0,
3_1_0007000000000000362b,6080552360,0.0,ForestToWater,2004.0,
3_1_00070000000000003659,6080548660,106748.34442138672,ForestToWater,2004.0,
3_1_0007000000000000365a,6080548950,4364.981140136719,ForestToWater,2004.0,
3_1_0007000000000000369f,6080549240,85550.71588134766,ForestToWater,2004.0,
3_1_000700000000000036a0,6080549470,39249.18524169922,ForestToWater,2004.0,
3_1_0007000000000000371f,6080540560,0.0,ForestToWater,2004.0,
3_1_00070000000000003720,6080540660,36647.894775390625,ForestToWater,2004.0,
3_2_000700000000000035bb,6080546500,6524491.586919568,ForestToBarren,2004.0,
3_2_0007000000000000362a,6080552520,6796035.873887005,ForestToBarren,2004.0,
3_2_0007000000000000362b,6080552360,1320541.2827572094,ForestToBarren,2004.0,
3_2_00070000000000003659,6080548660,1152503.7911376953,ForestToBarren,2004.0,
3_2_0007000000000000365a,6080548950,1813662.8232804842,ForestToBarren,2004.0,
3_2_0007000000000000369f,6080549240,637908.8094408222,ForestToBarren,2004.0,
3_2_000700000000000036a0,6080549470,3536230.617657112,ForestToBarren,2004.0,
3_2_0007000000000000371f,6080540560,4369.02880859375,ForestToBarren,2004.0,
3_2_00070000000000003720,6080540660,8022663.052733657,ForestToBarren,2004.0,
4_1_000700000000000035bb,6080546500,25313.14306640625,ForestToWater,2005.0,
4_1_0007000000000000362a,6080552520,5273.376783662684,ForestToWater,2005.0,
4_1_0007000000000000362b,6080552360,2618.208251953125,ForestToWater,2005.0,
4_1_00070000000000003659,6080548660,9624.6787109375,ForestToWater,2005.0,
4_1_0007000000000000365a,6080548950,3492.4978637695312,ForestToWater,2005.0,
4_1_0007000000000000369f,6080549240,16590.769897460938,ForestToWater,2005.0,
4_1_000700000000000036a0,6080549470,40085.533982938876,ForestToWater,2005.0,
4_1_0007000000000000371f,6080540560,0.0,ForestToWater,2005.0,
4_1_00070000000000003720,6080540660,35791.03869628906,ForestToWater,2005.0,
4_2_000700000000000035bb,6080546500,9289853.672618434,ForestToBarren,2005.0,
4_2_0007000000000000362a,6080552520,4358698.270513318,ForestToBarren,2005.0,
4_2_0007000000000000362b,6080552360,611435.9936188343,ForestToBarren,2005.0,
4_2_00070000000000003659,6080548660,327202.9002685547,ForestToBarren,2005.0,
4_2_0007000000000000365a,6080548950,829828.112595502,ForestToBarren,2005.0,
4_2_0007000000000000369f,6080549240,234907.75518798828,ForestToBarren,2005.0,
4_2_000700000000000036a0,6080549470,1616180.5926705156,ForestToBarren,2005.0,
4_2_0007000000000000371f,6080540560,1748.5438232421875,ForestToBarren,2005.0,
4_2_00070000000000003720,6080540660,5369064.363331514,ForestToBarren,2005.0,
5_1_000700000000000035bb,6080546500,18331.950073242188,ForestToWater,2006.0,
5_1_0007000000000000362a,6080552520,7135.935892262178,ForestToWater,2006.0,
5_1_0007000000000000362b,6080552360,1745.6650390625,ForestToWater,2006.0,
5_1_00070000000000003659,6080548660,15747.563781738281,ForestToWater,2006.0,
5_1_0007000000000000365a,6080548950,4365.5010986328125,ForestToWater,2006.0,
5_1_0007000000000000369f,6080549240,37539.25506591797,ForestToWater,2006.0,
5_1_000700000000000036a0,6080549470,546861.0819910386,ForestToWater,2006.0,
5_1_0007000000000000371f,6080540560,874.2156982421875,ForestToWater,2006.0,
5_1_00070000000000003720,6080540660,56717.54815673828,ForestToWater,2006.0,
5_2_000700000000000035bb,6080546500,6492687.309372606,ForestToBarren,2006.0,
5_2_0007000000000000362a,6080552520,3500796.5406800513,ForestToBarren,2006.0,
5_2_0007000000000000362b,6080552360,922073.0962498086,ForestToBarren,2006.0,
5_2_00070000000000003659,6080548660,235417.09991455078,ForestToBarren,2006.0,
5_2_0007000000000000365a,6080548950,1000571.5626615636,ForestToBarren,2006.0,
5_2_0007000000000000369f,6080549240,261946.48248291016,ForestToBarren,2006.0,
5_2_000700000000000036a0,6080549470,7100656.327038813,ForestToBarren,2006.0,
5_2_0007000000000000371f,6080540560,2622.6505126953125,ForestToBarren,2006.0,
5_2_00070000000000003720,6080540660,3088645.1582928826,ForestToBarren,2006.0,
6_1_000700000000000035bb,6080546500,13092.042175292969,ForestToWater,2007.0,
6_1_0007000000000000362a,6080552520,310497.65283203125,ForestToWater,2007.0,
6_1_0007000000000000362b,6080552360,6982.15576171875,ForestToWater,2007.0,
6_1_00070000000000003659,6080548660,23627.4130859375,ForestToWater,2007.0,
6_1_0007000000000000365a,6080548950,6111.265625,ForestToWater,2007.0,
6_1_0007000000000000369f,6080549240,96020.10046386719,ForestToWater,2007.0,
6_1_000700000000000036a0,6080549470,647306.9915771484,ForestToWater,2007.0,
6_1_0007000000000000371f,6080540560,0.0,ForestToWater,2007.0,
6_1_00070000000000003720,6080540660,107342.68347167969,ForestToWater,2007.0,
6_2_000700000000000035bb,6080546500,5297055.048098097,ForestToBarren,2007.0,
6_2_0007000000000000362a,6080552520,8650209.562955251,ForestToBarren,2007.0,
6_2_0007000000000000362b,6080552360,803656.8701045017,ForestToBarren,2007.0,
6_2_00070000000000003659,6080548660,568121.4803466797,ForestToBarren,2007.0,
6_2_0007000000000000365a,6080548950,1681278.9891462736,ForestToBarren,2007.0,
6_2_0007000000000000369f,6080549240,1238186.1306152344,ForestToBarren,2007.0,
6_2_000700000000000036a0,6080549470,1.2259768858287375E7,ForestToBarren,2007.0,
6_2_0007000000000000371f,6080540560,55102.695739746094,ForestToBarren,2007.0,
