system:index,BasinID,area,feature,year,.geo
0_1_1_000000000000000026fe,1080982910,0.0,cl,1985.0,
0_1_1_00000000000000002704,1080977020,0.0,cl,1985.0,
0_1_1_0000000000000000270b,1081012470,0.0,cl,1985.0,
0_1_1_00020000000000002c8c,5080162350,0.0,cl,1985.0,
0_1_1_000200000000000037d2,5080166880,0.0,cl,1985.0,
0_1_1_000600000000000023f1,6080108730,0.0,cl,1985.0,
0_1_1_000700000000000035bb,6080546500,3099.2509803921566,cl,1985.0,
0_1_1_0007000000000000362a,6080552520,5525.901960784313,cl,1985.0,
0_1_1_0007000000000000362b,6080552360,1872.337254901961,cl,1985.0,
0_1_1_00070000000000003659,6080548660,1461.8745098039217,cl,1985.0,
0_1_1_0007000000000000365a,6080548950,2290.2862745098037,cl,1985.0,
0_1_1_0007000000000000369f,6080549240,3401.3019607843135,cl,1985.0,
0_1_1_000700000000000036a0,6080549470,4333.321568627451,cl,1985.0,
0_1_1_0007000000000000371f,6080540560,1139.1019607843136,cl,1985.0,
0_1_1_00070000000000003720,6080540660,4266.576470588236,cl,1985.0,
0_1_2_000000000000000026fe,1080982910,0.0,rivArea,1985.0,
0_1_2_00000000000000002704,1080977020,0.0,rivArea,1985.0,
0_1_2_0000000000000000270b,1081012470,0.0,rivArea,1985.0,
0_1_2_00020000000000002c8c,5080162350,0.0,rivArea,1985.0,
0_1_2_000200000000000037d2,5080166880,0.0,rivArea,1985.0,
0_1_2_000600000000000023f1,6080108730,16908.07989501953,rivArea,1985.0,
0_1_2_000700000000000035bb,6080546500,5.056267893468927E7,rivArea,1985.0,
0_1_2_0007000000000000362a,6080552520,6.085393277146982E7,rivArea,1985.0,
0_1_2_0007000000000000362b,6080552360,1.981694057059111E7,rivArea,1985.0,
0_1_2_00070000000000003659,6080548660,8345357.184797699,rivArea,1985.0,
0_1_2_0007000000000000365a,6080548950,2.158058263184408E7,rivArea,1985.0,
0_1_2_0007000000000000369f,6080549240,2.8684912162627093E7,rivArea,1985.0,
0_1_2_000700000000000036a0,6080549470,2.4077075136210844E7,rivArea,1985.0,
0_1_2_0007000000000000371f,6080540560,6220710.522196213,rivArea,1985.0,
0_1_2_00070000000000003720,6080540660,3.1433178401115626E7,rivArea,1985.0,
0_2_000000000000000026fe,1080982910,0.0,waterArea,1985.0,
0_2_00000000000000002704,1080977020,0.0,waterArea,1985.0,
0_2_0000000000000000270b,1081012470,0.0,waterArea,1985.0,
0_2_00020000000000002c8c,5080162350,0.0,waterArea,1985.0,
0_2_000200000000000037d2,5080166880,0.0,waterArea,1985.0,
0_2_000600000000000023f1,6080108730,103250.2216796875,waterArea,1985.0,
0_2_000700000000000035bb,6080546500,6.123695760556784E7,waterArea,1985.0,
0_2_0007000000000000362a,6080552520,6.592390712651132E7,waterArea,1985.0,
0_2_0007000000000000362b,6080552360,2.697371883011258E7,waterArea,1985.0,
0_2_00070000000000003659,6080548660,9635461.707677025,waterArea,1985.0,
0_2_0007000000000000365a,6080548950,2.750380158058341E7,waterArea,1985.0,
0_2_0007000000000000369f,6080549240,3.7048137698271625E7,waterArea,1985.0,
0_2_000700000000000036a0,6080549470,2.593655169773428E7,waterArea,1985.0,
0_2_0007000000000000371f,6080540560,6621235.101148418,waterArea,1985.0,
0_2_00070000000000003720,6080540660,3.434835697702828E7,waterArea,1985.0,
1_1_1_000000000000000026fe,1080982910,0.0,cl,1986.0,
1_1_1_00000000000000002704,1080977020,0.0,cl,1986.0,
1_1_1_0000000000000000270b,1081012470,0.0,cl,1986.0,
1_1_1_00020000000000002c8c,5080162350,0.0,cl,1986.0,
1_1_1_000200000000000037d2,5080166880,0.0,cl,1986.0,
1_1_1_000600000000000023f1,6080108730,0.0,cl,1986.0,
1_1_1_000700000000000035bb,6080546500,3061.2509803921566,cl,1986.0,
1_1_1_0007000000000000362a,6080552520,5597.901960784313,cl,1986.0,
1_1_1_0007000000000000362b,6080552360,1947.337254901961,cl,1986.0,
1_1_1_00070000000000003659,6080548660,1742.8745098039217,cl,1986.0,
1_1_1_0007000000000000365a,6080548950,2349.3529411764703,cl,1986.0,
1_1_1_0007000000000000369f,6080549240,3452.2235294117645,cl,1986.0,
1_1_1_000700000000000036a0,6080549470,4743.3372549019605,cl,1986.0,
1_1_1_0007000000000000371f,6080540560,1151.1019607843136,cl,1986.0,
1_1_1_00070000000000003720,6080540660,3739.576470588235,cl,1986.0,
1_1_2_000000000000000026fe,1080982910,0.0,rivArea,1986.0,
1_1_2_00000000000000002704,1080977020,0.0,rivArea,1986.0,
1_1_2_0000000000000000270b,1081012470,0.0,rivArea,1986.0,
1_1_2_00020000000000002c8c,5080162350,0.0,rivArea,1986.0,
1_1_2_000200000000000037d2,5080166880,0.0,rivArea,1986.0,
1_1_2_000600000000000023f1,6080108730,0.0,rivArea,1986.0,
1_1_2_000700000000000035bb,6080546500,5.058464166246386E7,rivArea,1986.0,
1_1_2_0007000000000000362a,6080552520,6.495426388337E7,rivArea,1986.0,
1_1_2_0007000000000000362b,6080552360,2.0381184140063237E7,rivArea,1986.0,
1_1_2_00070000000000003659,6080548660,8855693.635178749,rivArea,1986.0,
1_1_2_0007000000000000365a,6080548950,2.240408848501049E7,rivArea,1986.0,
1_1_2_0007000000000000369f,6080549240,3.151479066891276E7,rivArea,1986.0,
1_1_2_000700000000000036a0,6080549470,2.524601806310006E7,rivArea,1986.0,
1_1_2_0007000000000000371f,6080540560,6792786.5451056985,rivArea,1986.0,
1_1_2_00070000000000003720,6080540660,3.669452483759023E7,rivArea,1986.0,
1_2_000000000000000026fe,1080982910,0.0,waterArea,1986.0,
1_2_00000000000000002704,1080977020,5332.3917236328125,waterArea,1986.0,
1_2_0000000000000000270b,1081012470,0.0,waterArea,1986.0,
1_2_00020000000000002c8c,5080162350,0.0,waterArea,1986.0,
1_2_000200000000000037d2,5080166880,0.0,waterArea,1986.0,
1_2_000600000000000023f1,6080108730,135300.05688476562,waterArea,1986.0,
1_2_000700000000000035bb,6080546500,6.1183492313464835E7,waterArea,1986.0,
1_2_0007000000000000362a,6080552520,7.006074010755213E7,waterArea,1986.0,
1_2_0007000000000000362b,6080552360,2.774918372819799E7,waterArea,1986.0,
1_2_00070000000000003659,6080548660,1.015161035413244E7,waterArea,1986.0,
1_2_0007000000000000365a,6080548950,2.8503976106162164E7,waterArea,1986.0,
1_2_0007000000000000369f,6080549240,4.057782636965739E7,waterArea,1986.0,
1_2_000700000000000036a0,6080549470,2.7134184835927207E7,waterArea,1986.0,
1_2_0007000000000000371f,6080540560,7228145.924037321,waterArea,1986.0,
