system:index,BasinID,area,feature,year,.geo
0_1_1_00000000000000002704,1080977020,0.0,cl,1985.0,
0_1_1_00020000000000002c8c,5080162350,0.0,cl,1985.0,
0_1_1_000600000000000023f1,6080108730,0.0,cl,1985.0,
0_1_1_000600000000000029af,6080099320,19.0,cl,1985.0,
0_1_2_00000000000000002704,1080977020,0.0,rivArea,1985.0,
0_1_2_00020000000000002c8c,5080162350,0.0,rivArea,1985.0,
0_1_2_000600000000000023f1,6080108730,16908.07989501953,rivArea,1985.0,
0_1_2_000600000000000029af,6080099320,1319660.208557129,rivArea,1985.0,
0_2_00000000000000002704,1080977020,0.0,waterArea,1985.0,
0_2_00020000000000002c8c,5080162350,0.0,waterArea,1985.0,
0_2_000600000000000023f1,6080108730,103250.2216796875,waterArea,1985.0,
0_2_000600000000000029af,6080099320,1625204.4885239545,waterArea,1985.0,
1_1_1_00000000000000002704,1080977020,0.0,cl,1986.0,
1_1_1_00020000000000002c8c,5080162350,0.0,cl,1986.0,
1_1_1_000600000000000023f1,6080108730,0.0,cl,1986.0,
1_1_1_000600000000000029af,6080099320,22.0,cl,1986.0,
1_1_2_00000000000000002704,1080977020,0.0,rivArea,1986.0,
1_1_2_00020000000000002c8c,5080162350,0.0,rivArea,1986.0,
1_1_2_000600000000000023f1,6080108730,0.0,rivArea,1986.0,
1_1_2_000600000000000029af,6080099320,1700039.5806252873,rivArea,1986.0,
1_2_00000000000000002704,1080977020,5332.3917236328125,waterArea,1986.0,
1_2_00020000000000002c8c,5080162350,0.0,waterArea,1986.0,
1_2_000600000000000023f1,6080108730,135300.05688476562,waterArea,1986.0,
1_2_000600000000000029af,6080099320,2634026.186853985,waterArea,1986.0,
2_1_1_00000000000000002704,1080977020,0.0,cl,1987.0,
2_1_1_00020000000000002c8c,5080162350,0.0,cl,1987.0,
2_1_1_000600000000000023f1,6080108730,0.0,cl,1987.0,
2_1_1_000600000000000029af,6080099320,193.0,cl,1987.0,
2_1_2_00000000000000002704,1080977020,0.0,rivArea,1987.0,
2_1_2_00020000000000002c8c,5080162350,0.0,rivArea,1987.0,
2_1_2_000600000000000023f1,6080108730,1431036.1358642578,rivArea,1987.0,
2_1_2_000600000000000029af,6080099320,2410121.470029584,rivArea,1987.0,
2_2_00000000000000002704,1080977020,5332.3917236328125,waterArea,1987.0,
2_2_00020000000000002c8c,5080162350,0.0,waterArea,1987.0,
2_2_000600000000000023f1,6080108730,1898328.783630371,waterArea,1987.0,
2_2_000600000000000029af,6080099320,3851013.9687583772,waterArea,1987.0,
3_1_1_00000000000000002704,1080977020,0.0,cl,1988.0,
3_1_1_00020000000000002c8c,5080162350,772.0,cl,1988.0,
3_1_1_000600000000000023f1,6080108730,0.0,cl,1988.0,
3_1_1_000600000000000029af,6080099320,218.0,cl,1988.0,
3_1_2_00000000000000002704,1080977020,0.0,rivArea,1988.0,
3_1_2_00020000000000002c8c,5080162350,7597340.31998674,rivArea,1988.0,
3_1_2_000600000000000023f1,6080108730,1431036.1358642578,rivArea,1988.0,
3_1_2_000600000000000029af,6080099320,2456639.5705932616,rivArea,1988.0,
3_2_00000000000000002704,1080977020,0.0,waterArea,1988.0,
3_2_00020000000000002c8c,5080162350,9606673.527917482,waterArea,1988.0,
3_2_000600000000000023f1,6080108730,1844031.1815795898,waterArea,1988.0,
3_2_000600000000000029af,6080099320,4340619.271602855,waterArea,1988.0,
4_1_1_00000000000000002704,1080977020,0.0,cl,1989.0,
4_1_1_00020000000000002c8c,5080162350,1255.0,cl,1989.0,
4_1_1_000600000000000023f1,6080108730,0.0,cl,1989.0,
4_1_1_000600000000000029af,6080099320,190.0,cl,1989.0,
4_1_2_00000000000000002704,1080977020,0.0,rivArea,1989.0,
4_1_2_00020000000000002c8c,5080162350,9023448.902437337,rivArea,1989.0,
4_1_2_000600000000000023f1,6080108730,0.0,rivArea,1989.0,
4_1_2_000600000000000029af,6080099320,2529513.5518554687,rivArea,1989.0,
4_2_00000000000000002704,1080977020,0.0,waterArea,1989.0,
4_2_00020000000000002c8c,5080162350,1.0988692061757525E7,waterArea,1989.0,
4_2_000600000000000023f1,6080108730,0.0,waterArea,1989.0,
4_2_000600000000000029af,6080099320,4974074.169945331,waterArea,1989.0,
5_1_1_00000000000000002704,1080977020,0.0,cl,1990.0,
5_1_1_00020000000000002c8c,5080162350,1136.0,cl,1990.0,
5_1_1_000600000000000023f1,6080108730,0.0,cl,1990.0,
5_1_1_000600000000000029af,6080099320,222.0,cl,1990.0,
5_1_2_00000000000000002704,1080977020,0.0,rivArea,1990.0,
5_1_2_00020000000000002c8c,5080162350,8751183.964701096,rivArea,1990.0,
5_1_2_000600000000000023f1,6080108730,0.0,rivArea,1990.0,
5_1_2_000600000000000029af,6080099320,2493956.2964233398,rivArea,1990.0,
5_2_00000000000000002704,1080977020,0.0,waterArea,1990.0,
5_2_00020000000000002c8c,5080162350,1.074022428351213E7,waterArea,1990.0,
5_2_000600000000000023f1,6080108730,16022.666748046875,waterArea,1990.0,
5_2_000600000000000029af,6080099320,5234172.646849629,waterArea,1990.0,
6_1_1_00000000000000002704,1080977020,0.0,cl,1991.0,
6_1_1_00020000000000002c8c,5080162350,1022.0,cl,1991.0,
6_1_1_000600000000000023f1,6080108730,61.0,cl,1991.0,
6_1_1_000600000000000029af,6080099320,28.0,cl,1991.0,
6_1_2_00000000000000002704,1080977020,0.0,rivArea,1991.0,
6_1_2_00020000000000002c8c,5080162350,8396365.325724045,rivArea,1991.0,
6_1_2_000600000000000023f1,6080108730,775916.2233276367,rivArea,1991.0,
6_1_2_000600000000000029af,6080099320,1676487.7815846163,rivArea,1991.0,
6_2_00000000000000002704,1080977020,0.0,waterArea,1991.0,
6_2_00020000000000002c8c,5080162350,1.0546170597332405E7,waterArea,1991.0,
6_2_000600000000000023f1,6080108730,1058048.0595092773,waterArea,1991.0,
6_2_000600000000000029af,6080099320,3820112.4969393862,waterArea,1991.0,
7_1_1_00000000000000002704,1080977020,0.0,cl,1992.0,
7_1_1_00020000000000002c8c,5080162350,837.0,cl,1992.0,
7_1_1_000600000000000023f1,6080108730,61.0,cl,1992.0,
7_1_1_000600000000000029af,6080099320,128.0,cl,1992.0,
7_1_2_00000000000000002704,1080977020,0.0,rivArea,1992.0,
7_1_2_00020000000000002c8c,5080162350,7673341.928690353,rivArea,1992.0,
7_1_2_000600000000000023f1,6080108730,775916.2233276367,rivArea,1992.0,
7_1_2_000600000000000029af,6080099320,1517822.8858621037,rivArea,1992.0,
7_2_00000000000000002704,1080977020,0.0,waterArea,1992.0,
7_2_00020000000000002c8c,5080162350,9900905.822002815,waterArea,1992.0,
7_2_000600000000000023f1,6080108730,1045585.9755249023,waterArea,1992.0,
7_2_000600000000000029af,6080099320,3215307.747884354,waterArea,1992.0,
8_1_1_00000000000000002704,1080977020,0.0,cl,1993.0,
8_1_1_00020000000000002c8c,5080162350,0.0,cl,1993.0,
8_1_1_000600000000000023f1,6080108730,0.0,cl,1993.0,
8_1_1_000600000000000029af,6080099320,143.0,cl,1993.0,
8_1_2_00000000000000002704,1080977020,0.0,rivArea,1993.0,
8_1_2_00020000000000002c8c,5080162350,0.0,rivArea,1993.0,
8_1_2_000600000000000023f1,6080108730,0.0,rivArea,1993.0,
8_1_2_000600000000000029af,6080099320,2014623.7046487248,rivArea,1993.0,
8_2_00000000000000002704,1080977020,0.0,waterArea,1993.0,
8_2_00020000000000002c8c,5080162350,0.0,waterArea,1993.0,
8_2_000600000000000023f1,6080108730,0.0,waterArea,1993.0,
8_2_000600000000000029af,6080099320,3792547.1066837087,waterArea,1993.0,
9_1_1_00000000000000002704,1080977020,0.0,cl,1994.0,
9_1_1_00020000000000002c8c,5080162350,604.0,cl,1994.0,
9_1_1_000600000000000023f1,6080108730,0.0,cl,1994.0,
9_1_1_000600000000000029af,6080099320,76.0,cl,1994.0,
9_1_2_00000000000000002704,1080977020,0.0,rivArea,1994.0,
9_1_2_00020000000000002c8c,5080162350,6241225.266871553,rivArea,1994.0,
9_1_2_000600000000000023f1,6080108730,0.0,rivArea,1994.0,
9_1_2_000600000000000029af,6080099320,2030645.3314797794,rivArea,1994.0,
9_2_00000000000000002704,1080977020,0.0,waterArea,1994.0,
9_2_00020000000000002c8c,5080162350,8521441.20096603,waterArea,1994.0,
9_2_000600000000000023f1,6080108730,0.0,waterArea,1994.0,
9_2_000600000000000029af,6080099320,4412666.667759795,waterArea,1994.0,
